id | TEV NAME | TYPE | RA (J2000) | Dec (J2000) | INTEGRAL FLUX | Distance
103 | TeV J1732-3445 | SNR/SHELL | 263.012 | -34.7550 | - | -
104 | TeV J1741-3012 | UNID | 265.250 | -30.2000 | 0.63 | -
105 | TeV J1743+1935 | HBL | 265.991 | 19.5858 | - | 0.083
106 | TeV J1745-2900 | UNID | 266.4150 | -29.0061 | - | -
107 | TeV J1745-2900 | UNID | 266.422 | -29.0058 | - | -
108 | TeV J1745-3022 | SNR/MC | 266.259 | -30.3706 | 1.63 | -
109 | TeV J1747-2448 | GC | 266.954 | -24.8083 | 1.2 | -
110 | TeV J1747-2809 | PWN | 266.847 | -28.1517 | 5.7 | -
111 | TeV J1800-2359 | UNID | 270.1558 | -23.9960 | 1.3 | -
112 | TeV J1801-2320 | SNR/MC | 270.4258 | -23.3350 | 0.45 | -
113 | TeV J1804-2143 | UNID | 271.079 | -21.7269 | 7 | -
114 | TeV J1808-2026 | UNID | 272.1510 | -20.4458 | 0.75 | -
115 | TeV J1810-1918 | PWN | 272.629 | -19.3000 | 3.8 | -
116 | TeV J1813-1750 | PWN | 273.400 | -17.8400 | 14.2 | -
117 | TeV J1818-1528 | SNR | 274.5200 | -15.4669 | 0.9 | -
118 | TeV J1825-1350 | PWN | 276.421 | -13.8389 | 874 | -
119 | TeV J1826-1449 | XRB | 276.563 | -14.8250 | - | -
120 | TeV J1831-0954 | PWN | 277.854 | -9.9000 | 1.0 | -
121 | TeV J1832-0922 | UNID | 278.208 | -9.3767 | 0.30 | -
122 | TeV J1833-1033 | PWN/SNR | 278.3854 | -10.5553 | 0.43 | -
123 | TeV J1834-0845 | UNID | 278.6938 | -8.7644 | 18.7 | -
124 | TeV J1837-0656 | PWN | 279.4046 | -6.9389 | 30.4 | -
125 | TeV J1840-0533 | UNID | 280.229 | -5.5500 | 9.1 | -
126 | TeV J1843-0318 | UNID | 280.750 | -3.3000 | - | -
127 | TeV J1846-0258 | PWN/SNR | 281.6004 | -2.9814 | 0.49 | -
128 | TeV J1848-0147 | WR/MSC | 282.121 | -1.7922 | - | -
129 | TeV J1849-0001 | PWN | 282.257 | -0.0214 | - | -
130 | TeV J1857+0242 | UNID | 284.3154 | 2.7047 | - | -
131 | TeV J1858+0205 | UNID | 284.583 | 2.0900 | 1.2 | -
132 | TeV J1907+0613 | UNID | 286.8400 | 6.2200 | - | -
133 | TeV J1911+0905 | SNR/MC | 287.779 | 9.0928 | 0.11 | -
134 | TeV J1912+1009 | PWN | 288.204 | 10.1517 | 2 | -
135 | TeV J1922+1411 | SNR/MC | 290.7300 | 14.1911 | - | -
136 | TeV J1930+1852 | PWN/SNR | 292.633 | 18.8700 | 0.54 | -
137 | TeV J1943+2118 | HBL | 295.979 | 21.3022 | 1.3 | -
138 | TeV J1959+6508 | HBL | 300.000 | 65.1485 | 47 | 0.048
139 | TeV J2001+4353 | IBL | 300.306 | 43.8841 | - | -
140 | TeV J2009-4849 | HBL | 302.3625 | -48.8311 | 2.57 | 0.071
141 | TeV J2016+3711 | PWN/SNR | 304.008 | 37.1978 | - | -
142 | TeV J2018+3642 | PWN/UNID | 304.679 | 36.7000 | - | -
143 | TeV J2019+3648 | UNID | 304.967 | 36.8039 | - | -
144 | TeV J2020+4045 | UNID | 305.0200 | 40.7600 | 5.2 | -
145 | TeV J2031+4040 | UNID | 307.929 | 40.6667 | - | -
146 | TeV J2031+4133 | UNID | 307.917 | 41.5647 | - | -
147 | TeV J2158-3013 | HBL | 329.719 | -30.2217 | - | 0.116
148 | TeV J2202+4216 | LBL | 330.680 | 42.2778 | 6 | 0.069
149 | TeV J2227+6052 | SNR | 336.996 | 60.8769 | 1.11 | -
150 | TeV J2228+6110 | PWN/SNR | 337.183 | 61.1667 | - | -
151 | TeV J2243+2021 | IBL | 340.978 | 20.3511 | - | >0.39
152 | TeV J2250+3824 | HBL | 342.524 | 38.4103 | 5.0 | 0.1187
153 | TeV J2323+5848 | SNR | 350.850 | 58.8150 | 0.776 | -
154 | TeV J2346+5142 | HBL | 356.500 | 51.7100 | 23.8 | 0.044
155 | TeV J2359-3037 | HBL | 359.7825 | -30.6217 | 3.06 | 0.165
